,已添加,AddFriendsPage_Added,Added,Ditambahkan,เพื่อนที่เพิ่มเติมแล้ว,Đã thêm,Sudah tambah,,,,
,已过期,AddFriendsPage_Expired,Expired,Kadaluarsa,คำขอที่เกินเวลากำหนด,Đã quá hạn,Lampau tempoh,,,,
,搜索,AddFriendsPage_Search,Search,Pencarian,ค้นหา,Tìm kiếm,Mencari,,,,
,已成功添加为好友,AddFriendsPage_AddedAsFriend,Added as friend,Telah berhasil ditambahkan sebagai teman,ได้เพิ่มเติมเป็นเพื่อนแล้ว,Đã thêm bạn thành công,Sudah ditambah sebagai kawan,,,,
好友列表,全部好友（s%）,FriendsListPage_AllFriends,All friends (s%),Semua teman (s%),เพื่อนทั้งหมด （s%）,Toàn bộ bạn bè (s%),Semua Kawan（s%）,,,,
,约玩,FriendsListPage_Invite,Invite,Tentang bermain,นัดเล่นเกมด้วยกัน,Hẹn chơi,Meminta bermain,,,,
,加入,FriendsListPage_Join,Join,Bergabunglah,เข้าร่วม,Gia nhập,Sertai,,,,
,你好友所在的房间人数已满，是否随机加入一个房间？,FriendsListPage_DialogTips,The room which your friend is in is fully occupied. Do you want to join a room at random?,"Jumlah kamar di temanmu sudah penuh, apakah kamu secara acak bergabung dengan kamar?",ห้องเกมที่เพื่อนคุณอยู่เต็มแล้ว คุณจะสุ่มห้องเกมหรือไม่,"Số người ở phòng chơi mà bạn của bạn tham gia đã đủ, có vào ngẫu nhiên phòng khác không?","Bilik kawan kamu sudah penuh, boleh masuk bilik lain secara rambang?",,,,
,开始游戏,FriendsListPage_Start,Start,Mulai permainan,เริ่มเกม,Bắt đầu chơi,Mula bermain,,,,
,不玩了,FriendsListPage_Quit,Quit,Tidak bermain,ไม่เล่นแล้ว,Không chơi nữa,Berhenti,,,,
聊天页面（消息发送失败）,消息发送失败，是否重发？,ChatPage_FailedToSend,Failed to send message. Do you want to send again?,"Pesan gagal dikirim, apakah itu marah?",การส่งข้อความล้มเหลว คุณจะส่งใหม่อีกครั้งไหม,"Gửi tin nhắn thất bại, có gửi lại không?",Mesej gagal dikirim，ingin hantar sekali lagi？,,,,
,重发,ChatPage_SendAgain,Send Again,Kirim ulang,ส่งใหม่อีกครั้ง,Gửi lại,Hantar sekali lagi,,,,
,取消,ChatPage_Cancel,Cancel,Batalkan,ยกเลิก,Hủy,Batal,,,,
添加好友,添加好友,ChatPage_AddFriends,Add Friends,Tambahkan teman,เพิ่มผู้ติดต่อ,Thêm bạn bè,Tambah kawan,,,,
,申请已发送，请等待对方验证,ChatPage_WaitForTheVerification,"The application has been sent, please wait for the verification","Aplikasi telah dikirim, silakan tunggu pihak lain memverifikasi",คำขอถูกส่งไปเรียบร้อยแล้ว กรุณารออีกหนึ่งฝ่ายยืนยัน,"Yêu cầu đã gửi đi, vui lòng đợi đối phương xác nhận",Permintaan sudah dikirim，tunggu pengesahannya,,,,
,待验证,ChatPage_PendingVerification,Pending Verification,Verifikasi tertunda,รอการยืนยันอยู่,Đợi xác nhận,Tunggu pengesahan,,,,
,同意,ChatPage_Agree,Agree,Setuju,เห็นด้วย,Đồng ý,Setuju,,,,
,对方申请添加你为好友，同意即可成为好友,ChatPage_AgreeToAdd,"The user applies to add you as a friend, agree to add.","Pihak lain berlaku untuk menambahkan Anda sebagai teman, setuju untuk menjadi teman",อีกหนึ่งฝ่ายขอเป็นเพื่อนกับคุณ หากคุณรับคำขอ ก็เป็นเพื่อนกันได้ทันที,"Đối phương yêu cầu kết bạn với bạn, đồng ý là trở thành bạn bè","Dia minta tambah anda sebagai kawan, jika setuju, boleh menjadi kawan",,,,
,你们刚刚成为好友,ChatPage_JustBeFriends,You have just become friends,Anda baru saja menjadi teman,พวกคุณเป็นเพื่อนกันแล้วเมื่อกี้นี้,Các bạn vừa trở thành bạn bè,Kamu baru menjadi kawan ,,,,
,我们已经成为好友了，欢迎随时找我约战,ChatPage_BeFriends,We have become friends. Invite me to play at any time,"Kami sudah berteman, jangan ragu untuk meminta saya bertengkar.",เราเป็นเพื่อนกันแล้ว ยินดีตลอดที่คุณจะมานัดเล่นเกมกับฉันเมื่อไรก็ได้,"Chúng ta đã trở thành bạn bè, rất sẵn lòng nhận lời hẹn thi đấu của bạn bất cứ lúc nào","kita sudah menjadi kawan, selamat berlawan dengan saya",,,,
IM 中约战,等待对方接受邀请,ChatPage_Wating,Waiting for the user to accept,Menunggu pihak lain untuk menerima,รออีกหนึ่งฝ่ายรับการเชิญชวน,Đợi đối phương chấp nhận lời mời,Tunggu dia menerima jemputan,,,,
,接受,ChatPage_Accept,Accept,Terima,รับ,Chấp nhận,Setuju,,,,
,拒绝,ChatPage_Refuse,Refuse,Tolak,ปฏิเสธ,Từ chối,Menolak,,,,
,对方未接受,ChatPage_NotAccept,The user did not accept,Pihak lain tidak menerima,อีกฝ่ายหนึ่งไม่รับ,Đối phương chưa chấp nhận,Dia belum menerima,,,,
,约战已失效,ChatPage_Expired,The invitation has expired,Pertempuran telah berakhir,การนักเล่นเกมเกินเวลากำหนด,Lời hẹn thi đấu đã mất hiệu lực,Permintaan tamat tempohnya,,,,
,对方已拒绝,ChatPage_OpponetRefused,The user has refused,Pihak lain telah menolak,อีกฝ่ายหนึ่งปฏิเสธแล้ว,Đối phương đã từ chối,Dia sudah menolak,,,,
,已拒绝,ChatPage_Refused,Refused,Ditolak,ปฏิเสธแล้ว,Đã từ chối,Sudah menolak,,,,
被删除好友提示,你还不是Ta的好友，请先发送验证，对方通过后才能聊天。发送朋友验证,ChatPage_FriendsDeletedTips,"You are not currently a friend of the user. Please send the application first, and chat after the user agrees. Send application","Anda bukan teman Ta, silakan kirim verifikasi terlebih dahulu, dan pihak lain bisa meneruskan obrolan. Kirim verifikasi teman",คุณยังไม่ใช่เพื่อนกับเขา/เธอ กรุณาส่งคำขอเป็นเพื่อนก่อน และคุณจะคุยกับเขา/เธอได้หลังจากเขา/เธอได้รับคำขอแล้ว ส่งคำขอเป็นเพื่อน,"Bạn chưa phải bạn của anh/cô ấy, đầu tiên hãy gửi xác nhận, đối phương sau khi thông qua mới có thể nói chuyện. Gửi xác nhận bạn bè","Anda bukan kawannya, sila kirim pengesahan dulu, setelah lulus baru boleh berbual-bual. Kirim pengesahan kepada kawan",,,,
Ready官方自动下发消息,你邀请的好友s1%（ID：s2%）已成功注册，你因此获得了s3%颗钻石奖励,ChatPage_GetRewardsTips,"The friend s1% (ID：s2%) you've invited has registered, and you can get s3% Diamonds as the reward","Teman Anda yang diundang s1% (ID: s2%) telah berhasil didaftarkan, jadi Anda mendapatkan hadiah berlian s3%",s1% （Id：s2%）เพื่อนที่คุณเชิญชวนมาได้ลงทะเบียนเรียบร้อยแล้ว ดังนั้น คุณได้รับโบนัสที่เป็นเพชร s3% อัน,"Người bạn mà bạn mời s1% (ID: s2%) đã đăng ký thành công, vì vậy bạn được thưởng s3% kim cương","Kawan yang anda jemput s1%（ID：s2%）sudah mendaftar, anda mendapat hadiah s3% Berlian",,,,
聊天面板,说点什么吧,ChatPage_SaySomething,Say something,Katakan sesuatu?,พูดอะไรสักหน่อยสิ,Nói chút chuyện gì đi,Bercakap sesuatu,,,,
,按住说话，松手发送,ChatPage_Hold to talk,"Hold to talk, release to send","Tahan dan bicara, lepaskan",กดค้างไว้เพื่อพูด ปล่อยมือเพื่อส่งข้อความ,"Giữ lâu để nói, thả tay ra để gửi đi","Tekan untuk bercakap,angkat jari untuk kirim",,,,
,按住说话，松手发送，最长5秒,ChatPage_HoldToTalk5,"Hold to talk, release to send, up to 5 seconds","Tahan dan bicara, lepaskan, kirim hingga 5 detik",กดค้างไว้เพื่อพูด ปล่อยมือเพื่อส่งข้อความ นานสุด 5 วินาที,"Giữ lâu để nói, thả tay ra để gửi đi, lâu nhất 5s","Tekan untuk bercakap,angkat jari untuk kirim,paling lama 5 saat",,,,
,手指上划取消，松开即可发送,ChatPage_SlideUpToCancel,"Slide up to cancel, release to send ","Batalkan pada jari, lepaskan dan kirim",สไลด์ขึ้นเพื่อยกเลิก ปล่อยมือก็จะยกเลิกทันที,"Trượt ngón tay để hủy, thả tay có thể gửi đi","Tekan dan bergerak ke atas untuk batal, angkat jari untuk kirim",,,,
,松开即可取消,ChatPage_ReleaseToCancel,Release to cancel,Rilis untuk membatalkan, ปล่อยมือก็จะยกเลิกทันที,Thả tay có thể hủy,angkat jari untuk batal,,,,
应用内约战,邀请你一起玩s%,AllPage_Invitation,The user invites you to play s%,Mengundang Anda untuk bermain s%,เชิญชวนคุณเล่นเกม s% ด้วย,Mời bạn cùng chơi s%,Jemput anda untuk bermain s%,,,,
,忽略,AllPage_Ignore,Ignore,Abaikan,ละเลย,Bỏ qua,Biarkan,,,,
,同意,AllPage_Agree,Agree,Setuju,เห็นด้วย,Đồng ý,Setuju,,,,



页面,中文,Key,英文,印尼语,泰语,越南语,马来语,截图
加载到最底部,已加载全部内容,AllPage_AllContentsLoaded,All contents loaded,Memuat semua konten,ได้โหลดเนื้อความทั้งหมดแล้ว,Đã tải toàn bộ nội dung,Semua isi sudah dimuat,
超字符Toast提示,已经超过最大字符限制，请重新编辑,AllPage_CharacterLimitTips,"The maximum character limit has been exceeded, please re-edit","Batas karakter maksimum telah terlampaui, silakan edit ulang",จำนวนอักษรเกินจำนวนสูงสุดแล้ว กรุณาแก้ไขอีกครั้ง,"Đã vượt quá giới hạn ký tự tối đa, hãy soạn lại","Sudah melebihi batasan huruf, sila edit lagi",
被封禁Toast提示,当前的账号不可用，已被封禁,AllPage_Banned,The current account has been banned and is not available ,Akun saat ini tidak tersedia dan telah dilarang,บัญชีนี้ใช้ไม่ได้ เพราะถูกสั่งห้ามใช้งานแล้ว,"Tài khoản hiện tại không khả dụng, đã bị đóng","ID tidak boleh digunakan, sudah diblok",
账号被踢,你的账号在其他设备上登录，请重新登录,AllPage_SignInAgain,"Your account has been signed in on another device, please sign in again","Akun Anda masuk di perangkat lain, harap masuk lagi",บัญชีคุณได้เข้าสู่ระบบด้วยอุปกรณ์อื่น กรุณาเข้าสู่ระบบใหม่อีกครั้ง,"Tài khoản của bạn đã đăng nhập trên thiết bị khác, hãy đăng nhập lại","ID itu sudah log masuk di mesin yang lain, sila log masuk lagi",
敏感词Toast提示,包含敏感信息，请重新编辑,AllPage_SensitiveInformation ,"Sensitive information contained, please re-edit","Berisi informasi sensitif, silakan edit kembali",มีข้อมูลอ่อนไหวด้วย กรุณาแก้ไขใหม่อีกครั้ง,"Gồm thông tin nhạy cảm, hãy soạn lại","Mengandungi maklumat sensitif, sila edit lagi",
push,s%申请添加你为好友,AllPage_AppliesToAdd,s% applies to add you as a friend,s% aplikasi untuk menambahkan Anda sebagai teman,s% ขอเป็นเพื่อนกับคุณ,s% yêu cầu kết bạn với bạn,s% meminta tambah anda sebagai kawan,
,签到领金币，你今天还没有签到哦~,AllPage_CheckInRemind,Check in to get gold coins. You haven't checked in today~,"Masuk untuk menerima koin emas, Anda belum masuk hari ini ~",รายงานตัวและรับเหรียญทอง คุณยังไม่รายงานตัวในวันนี้,"Báo danh nhận xu vàng, hôm nay bạn vẫn chưa báo danh~","Tandatangani untuk mendapat syiling emas, anda belum tandatangi hari ini",
,你已经被5名同赛区玩家赶超，速来约战刷榜~,AllPage_SurpassedBy5,You have been surpassed by 5 players in your Division. Fight them and try to rank higher now~,Anda telah diambil alih oleh 5 pemain di area kompetisi yang sama.,ผู้เล่นเกมที่อยู่ในภูมิภาคอันเดียวกัน 5 คนได้ก้าวล้ำหน้าคุณแล้ว คุณรีปมานัดเล่นเกมเพื่อสะสมคะแนนเถอะ,"Bạn đã bị 5 người chơi cùng khu vực vượt qua, mau đi hẹn thi đấu để làm mới bảng xếp hạng~","5 orang pemain zon permainan negara anda sudah melebihi ranking anda, cepat berlawan",
,你已经被10名全球玩家赶超，速来约战刷榜~,AllPage_SurpassedBy10,You have been surpassed by 10 players globally. Fight them and try to rank higher now~,Anda telah dikalahkan oleh 10 pemain global.,ผู้เล่นเกมทั่่วโลก 10 คนได้ก้าวล้ำหน้าคุณแล้ว คุณรีปมานัดเล่นเกมเพื่อสะสมคะแนนเถอะ,"Bạn đã bị 10 người chơi toàn thế giới vượt qua, mau đi hẹn thi đấu để làm mới bảng xếp hạng~","10 orang pemain dunia sudah melebihi ranking anda, cepat berlawan",
,Hi，s%全新上线，叫上Ta一起来战~,AllPage_RemindNewGame,"Hi, s% has just been released. Invite your friends to play together~","Hai, s% online baru, ajak dia untuk bertarung bersama ~",สวัสดี  เวอร์ชั่นใหม่ s% ได้ออนไลน์แล้ว ชวนเขา/เธอมาเล่นเกมด้วยสิ,"Hi, s% mới online, rủ anh ấy/cô ấy cùng nhau đi chiến đấu thôi~","Hi, s% baru dilancarkan, panggil dia bermain bersama-sama!",
,哇哦！K神刚刚在擂台场赢得100000钻石大奖！还不快来？,AllPage_RemindOpenApp,"Wow! Amazing K just won the award of 100,000 Diamonds in the Arena! What are you waiting for?","Wow! Dewa K baru saja memenangkan 100,000 Diamond Award di medan perang! Masih belum datang?",ว้าว ！ K God ได้ชนะรางวัลที่เป็นเพชร 100000 อันในเกมการท้าทาย รีปมาเล่นเกมเลย,Wow! Thần K vừa giành được 100000 kim cương trên đấu trường! Còn không mau đến ?,Alamak! K baru memenangi hadiah 100000 berlian dalam Arena PK! Cepat sertai?,
空页面,暂无内容,AllPage_NoContentsYet,No contents yet,Tanpa konten,ตอนนี้ยังไม่มีเนื้อหา,Hiện chưa có nội dung,Tiada isi,
,暂无排名,AllPage_NoRankingYet,No ranking yet,Belum ada peringkat,ตอนนี้ยังไม่มีการจัดอันดับ,Hiện chưa xếp hạng,Tiada ranking,
,暂无好友,AllPage_NoFriendsYet,No friends yet,Tidak ada teman,ตอนนี้ยังไม่มีเพื่อน,Hiện chưa có bạn bè,Tiada kawan,
